"variasi","menginap","hari","pendapatan"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","YA","5,00","39.683,00"
"B","TIDAK","0,00","0,00"
"B","YA","3,00","2.227,00"
"B","YA","3,00","17.824,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
"B","TIDAK","0,00","0,00"
